YEAR,COMP #,DATE FILED,DATE FINISHED,COMPLAINT TYPE,INCIDENT LOCATION,COMPLAINANT RACE,COMPLAINANT GENDER,COMPLAINANT AGE,UNIQUE COMPL,OFFICER GENDER,NUMBER OF OFFICERS,TENURE (YEARS),APPEAL,ALLEGATION(S) / COMMENTS,COMPLAINT DISPOSITION,CORRECTIVE ACTION,IN PROGRESS,CRS Review Date
2022,FC2022-005,,,R-5D1 PHYSICAL AND DEADLY FORCE,320 North Neil Street,Black,Male,,,Male,,2,,,Unfounded,,,
2022,FC2022-005,,,R-5D1 PHYSICAL AND DEADLY FORCE,320 North Neil Street,Black,Male,,,Male,,2,,,Unfounded,,,
2022,FC2022-005,,,R-1A1 CONDUCT GENERALLY,320 North Neil Street,Black,Female,,,Male,,4,,,Unfounded,,,
2022,FC2022-005,,,R-1A1 CONDUCT GENERALLY,320 North Neil Street,Black,Female,,,Male,,4,,,Unfounded,,,
2022,FC2022-005,,,R-1A1 CONDUCT GENERALLY,320 North Neil Street,Black,Female,,,Male,,4,,,Unfounded,,,
2022,FC2022-005,,,R-1A1 CONDUCT GENERALLY,320 North Neil Street,Black,Male,,,Male,,4,,,Unfounded,,,
2022,FC2022-005,,,R-1A1 CONDUCT GENERALLY,320 North Neil Street,Black,Male,,,Male,,4,,,Unfounded,,,
2022,FC2022-005,,,R-1C1 NEGLECT OF DUTY,320 North Neil Street,Black,Female,,,Male,,4,,,Unfounded,,,
2022,FC2022-005,,,R-1C1 NEGLECT OF DUTY,320 North Neil Street,Black,Female,,,Male,,4,,,Unfounded,,,
2022,FC2022-005,,,R-1C1 NEGLECT OF DUTY,320 North Neil Street,Black,Female,,,Male,,4,,,Unfounded,,,
2022,FC2022-005,,,R-1C1 NEGLECT OF DUTY,320 North Neil Street,Black,Male,,,Male,,4,,,Unfounded,,,
2022,FC2022-005,,,R-1C1 NEGLECT OF DUTY,320 North Neil Street,Black,Male,,,Male,,4,,,Unfounded,,,
2022,FC2022-005,,,"R-5B ARREST, SEARCH AND SEIZURE",320 North Neil Street,Black,Female,,,Male,,4,,,Unfounded,,,
2022,FC2022-005,,,"R-5B ARREST, SEARCH AND SEIZURE",320 North Neil Street,Black,Female,,,Male,,4,,,Unfounded,,,
2022,FC2022-005,,,"R-5B ARREST, SEARCH AND SEIZURE",320 North Neil Street,Black,Female,,,Male,,4,,,Unfounded,,,
2022,FC2022-005,,,"R-5B ARREST, SEARCH AND SEIZURE",320 North Neil Street,Black,Male,,,Male,,4,,,Unfounded,,,
2022,FC2022-005,,,"R-5B ARREST, SEARCH AND SEIZURE",320 North Neil Street,Black,Male,,,Male,,4,,,Unfounded,,,
2022,FC2022-005,,,R-5D1 PHYSICAL AND DEADLY FORCE,320 North Neil Street,Black,Female,,,Male,,4,,,Unfounded,,,
2022,FC2022-005,,,R-5D1 PHYSICAL AND DEADLY FORCE,320 North Neil Street,Black,Female,,,Male,,4,,,Unfounded,,,
2022,FC2022-005,,,R-5D1 PHYSICAL AND DEADLY FORCE,320 North Neil Street,Black,Female,,,Male,,4,,,Unfounded,,,
2022,FC2022-005,,,R-5D1 PHYSICAL AND DEADLY FORCE,320 North Neil Street,Black,Male,,,Male,,4,,,Unfounded,,,
2022,FC2022-005,,,R-5D1 PHYSICAL AND DEADLY FORCE,320 North Neil Street,Black,Male,,,Male,,4,,,Unfounded,,,
2022,FC2022-006,,,R-5D1 PHYSICAL AND DEADLY FORCE,1418 Rosewood Drive,Black,Female,,,Male,,,,,UNK,,,
2022,FC2022-006,,,R-3B1 COURTESY,1418 Rosewood Drive,Black,Female,,,Male,,,,,UNK,,,
2022,FC2022-007,,04/11/2023,R-5D1 PHYSICAL AND DEADLY FORCE,,Black,Male,,,Male,,9,,,Unfounded,,,
2022,FC2022-007,,04/11/2023,R-5D1 PHYSICAL AND DEADLY FORCE,,Black,Male,,,Male,,6,,,Unfounded,,,
2022,FC2022-009,,07/20/2023,R-5D1 PHYSICAL AND DEADLY FORCE,913 Crescent Drive,Black,Female,,,Male,,2,,,Not Sustained,,,
2022,FC2022-009,,07/20/2023,R-5D1 PHYSICAL AND DEADLY FORCE,913 Crescent Drive,Black,Female,,,Male,,2,,,Not Sustained,,,
2023,FC2023-003,,,R-1A1 CONDUCT GENERALLY,4001 Montrose Drive,Unknown,Female,,,Male,,6,,,UNK,,,
2023,FC2023-003,,,R-1A1 CONDUCT GENERALLY,4001 Montrose Drive,Unknown,Female,,,Male,,6,,,UNK,,,
